primary_trips,work_trip,study_trip,shopping_trips,recreational_activity,social_activity,e_learning,teleshopping,teleworking,distance_traveled,mode_of_transport,mode_transport,reason_of_mode,change_mode,transport_mode,fac_inf_mode,fac_res_movement,private_car,trotro,uber_bolt,bicycle,motrobike,walking,gender,age,edu,edu_level,employ_status,income,marital_status,household_car_own,motor_bicycle_own
work,3 trips/week,never,never,never,never,never,never,never,10.01 - 15km,taxi,Paratransit,safety ans security,No,taxi,safety ans security,never reduce my movement,likely,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,neutral,Male,18 - 24 years,No formal Education,no certificate and can not read,Self Employed,less 100 cedis,Single,no,No
work,2 trips/week,2 trips/week,2 trips/week,1 trip/week,1 trip/week,1/week,1/week,1/week,5.01 - 10km,taxi,Paratransit,comfort,Yes,uber/bolt,safety ans security,perception of infection,extremely unlikely,likely,unlikely,unlikely,neutral,unlikely,Male,18 - 24 years,Bachelors degree,first degree,Student,3500 - above cedis,Single,Yes,No
others,2 trips/week,1 trip/week,1 trip/week,1 trip/week,2 trips/week,never,never,never,20.01 - 30km,private car,Private_transport,availability,No,private car,availability,never reduce my movement,neutral,extremely likely,neutral,neutral,likely,unlikely,Male,31 - 40 years,HND/diploma,HND/diploma,Formally Employed,501 - 1000 cedis,Single,Yes,No
work,5 or more trips/week,never,never,never,never,never,never,never,10.01 - 15km,trotro,Paratransit,availability,No,trotro,availability,never reduce my movement,extremely unlikely,extremely likely,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Male,18 - 24 years,Bachelors degree,first degree,Unemployed,501 - 1000 cedis,Single,No,No
study,never,3 trips/week,1 trip/week,never,never,4/week,5/more/week,never,30.01km and above,private car,Private_transport,travel cost time,No,private car,travel cost time,never reduce my movement,extremely unlikely,likely,neutral,extremely unlikely,likely,extremely unlikely,Male,41 - 50 years,Postgraduate,postgraduate,Formally Employed,3500 - above cedis,Married,Yes,No
study,never,5 or more trips/week,never,never,never,never,never,never,30.01km and above,trotro,Paratransit,comfort,No,trotro,comfort,never reduce my movement,extremely unlikely,extremely likely,unlikely,neutral,unlikely,likely,Male,18 - 24 years,High school certififcate,high school certififcate,Student,101 - 500 cedis,Single,No,No
work,5 or more trips/week,2 trips/week,3 trips/week,1 trip/week,1 trip/week,never,never,never,30.01km and above,trotro,Paratransit,availability,No,trotro,cost,perception of infection,extremely unlikely,extremely likely,likely,unlikely,unlikely,unlikely,Male,41 - 50 years,High school certififcate,high school certififcate,Formally Employed,3500 - above cedis,Married,No,No
study,4 trip/week,4 trip/week,never,never,never,3/week,3/week,never,0 - 5km,uber/bolt,Ride_hailing,safety ans security,No,uber/bolt,safety ans security,social distance,neutral,likely,extremely likely,extremely unlikely,extremely unlikely,likely,Male,25 - 30 years,Postgraduate,postgraduate,Student,101 - 500 cedis,Married,No,Yes
work,2 trips/week,never,never,never,never,never,never,2/week,0 - 5km,trotro,Paratransit,infection concern,Yes,trotro,safety ans security,social distance,neutral,neutral,neutral,neutral,neutral,neutral,Male,31 - 40 years,Postgraduate,postgraduate,Student,101 - 500 cedis,Married,No,No
work,4 trip/week,never,2 trips/week,never,1 trip/week,never,never,never,0 - 5km,walking,Non_motorized_transport,safety ans security,Yes,private car,social distance,perception of infection,extremely unlikely,extremely likely,extremely unlikely,unlikely,unlikely,likely,Male,25 - 30 years,Postgraduate,postgraduate,Self Employed,2501 - 3500 cedis,Single,Yes,Yes
work,never,never,never,never,1 trip/week,never,never,1/week,5.01 - 10km,trotro,Paratransit,availability,No,trotro,availability,social distance,extremely unlikely,unlikely,extremely unlikely,extremely unlikely,unlikely,extremely unlikely,Male,25 - 30 years,HND/diploma,HND/diploma,Formally Employed,501 - 1000 cedis,Single,No,No
work,5 or more trips/week,never,4 trip/week,2 trips/week,3 trips/week,2/week,2/week,2/week,10.01 - 15km,trotro,Paratransit,cost,Yes,private car,safety ans security,perception of infection,unlikely,extremely likely,unlikely,extremely unlikely,extremely unlikely,unlikely,Female,25 - 30 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Married,No,No
study,never,1 trip/week,never,1 trip/week,1 trip/week,1/week,never,never,10.01 - 15km,trotro,Paratransit,availability,No,trotro,availability,wearing of nose mask,neutral,extremely likely,likely,unlikely,extremely unlikely,extremely unlikely,Male,31 - 40 years,Bachelors degree,first degree,Student,501 - 1000 cedis,Single,No,Yes
work,5 or more trips/week,never,2 trips/week,2 trips/week,2 trips/week,1/week,never,1/week,0 - 5km,trotro,Paratransit,cost,No,trotro,cost,perception of infection,unlikely,extremely likely,unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,501 - 1000 cedis,Single,No,No
shopping,1 trip/week,1 trip/week,1 trip/week,never,never,never,never,1/week,0 - 5km,trotro,Paratransit,travel cost time,No,trotro,travel cost time,perception of infection,likely,extremely likely,extremely unlikely,unlikely,unlikely,neutral,Male,25 - 30 years,Bachelors degree,first degree,Unemployed,501 - 1000 cedis,Single,No,No
